statNm,statId,chgerId,chgerType,addr,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,s,l,output,method,zcode,zscode,kind,kindDetail,parkingFree,limitYn,delYn,statUpdDt,lastTsdt,FALSE,,
이마트 명일점,ME000045,1,3,서울특별시 강동구 고덕로 276,37.554606,127.155966,10:00~24:00,ME,환경부,환경부,1661-9408,9,2.02108E+13,2.02107E+13,50,단독,11,11740,E0,E001,N,N,N,2021-08-03 11:13:10,2021-07-09 10:51:13,,,
노보텔,ME174001,1,6,서울특별시 강남구 봉은사로 130,37.5052721,127.0289991,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11680,E0,E003,N,N,N,2022-08-24 07:04:32,2022-08-24 06:20:48,,,
암사1동 공영주차장,ME174003,1,6,서울특별시 강동구 고덕로28길 36,37.5529087,127.1372547,24시간 이용가능,ME,환경부,환경부,1661-9408,3,2.02208E+13,2.02208E+13,50,단독,11,11740,B0,B001,N,N,N,2022-08-24 09:21:32,2022-08-24 08:36:49,,,
천호유수지 공영주차장,ME174004,1,6,서울특별시 강동구 선사로 70,37.5448122,127.1218396,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11740,B0,B001,N,N,N,2022-08-24 07:54:42,2022-08-24 07:41:41,,,
천호3동 제1공영주차장,ME174005,1,6,서울특별시 강동구 진황도로29길 34,37.5387951,127.1333987,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11740,B0,B001,N,N,N,2022-08-24 03:22:29,2022-08-24 03:21:29,,,
가로공원로 지하공영주차장,ME174006,1,6,서울특별시 강서구 가로공원로 189,37.5372628,126.8383789,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11500,B0,B001,N,N,N,2022-08-23 21:25:31,2022-08-23 20:44:59,,,
곰달래문화복지센터 공영주차장,ME174007,1,6,서울특별시 강서구 강서로5길 50,37.5289561,126.8490887,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11500,B0,B001,N,N,N,2022-08-23 23:46:38,2022-08-23 23:29:14,,,
볏골공원 지하공영주차장,ME174008,1,6,서울특별시 강서구 까치산로4길 22,37.5419747,126.8444499,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11500,B0,B001,N,N,N,2022-08-24 06:45:46,2022-08-24 06:36:19,,,
화곡6-1 공영주차장,ME174009,1,6,서울특별시 강서구 우장산로 114,37.5530457,126.8488169,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11500,B0,B001,N,N,N,2022-08-24 07:06:21,2022-08-24 06:51:32,,,
홈플러스 강서점,ME174010,1,6,서울특별시 강서구 화곡로 398,37.5591218,126.8549199,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11500,E0,E001,N,N,N,2022-08-23 21:30:10,2022-08-23 20:47:38,,,
신림동 제1공영주차장,ME174011,1,6,서울특별시 관악구 관천로 98,37.4874046,126.9235075,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11620,B0,B001,N,N,N,2022-08-24 04:03:30,2022-08-24 03:38:46,,,
난곡동 제1공영주차장,ME174012,1,6,서울특별시 관악구 난곡로34나길 14,37.4722977,126.9231169,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11620,B0,B001,N,N,N,2022-08-24 08:45:54,2022-08-24 08:20:17,,,
낙성대동주민센터,ME174013,1,6,서울특별시 관악구 낙성대로4가길 5,37.476296,126.9583876,24시간 이용가능,ME,환경부,환경부,1661-9408,3,2.02208E+13,2.02208E+13,50,단독,11,11620,G0,G003,Y,N,N,2022-08-24 09:11:39,2022-08-24 08:29:20,,,
낙성대동주민센터,ME174013,2,6,서울특별시 관악구 낙성대로4가길 5,37.476296,126.9583876,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02108E+13,2.02108E+13,50,단독,11,11620,G0,G003,Y,N,N,2021-08-11 14:08:10,2021-08-11 13:25:57,,,
보라매 제1공영주차장,ME174014,1,6,서울특별시 관악구 봉천로21길 38,37.488301,126.9346119,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11620,B0,B001,N,N,N,2022-08-23 21:03:48,2022-08-23 20:44:46,,,
보라매 제1공영주차장,ME174014,2,6," 입구좌측, 지하 각 1기",37.488301,126.9346119,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02205E+13,2.02202E+13,50,단독,11,11620,B0,B001,N,N,N,2022-05-02 11:38:10,2022-02-16 17:33:31,,,
원신 공영주차장,ME174015,1,6,서울특별시 관악구 양지길 63,37.470038,126.9292421,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11620,B0,B001,N,N,N,2022-08-24 09:14:49,2022-08-24 08:31:29,,,
어린이대공원 후문주차장,ME174016,1,6,서울특별시 광진구 능동로 216,37.5515067,127.0869275,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11215,D0,D007,N,N,N,2022-08-24 03:55:16,2022-08-24 03:43:30,,,
홈플러스 신도림점,ME174017,1,6,서울특별시 구로구 경인로 661,37.5099693,126.888413,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11530,E0,E001,N,N,N,2022-08-23 19:17:26,2022-08-23 17:54:46,,,
롯데마트 중계점,ME174018,1,6,서울특별시 노원구 노원로 330,37.6466673,127.0715514,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11350,E0,E001,N,N,N,2022-08-23 19:20:04,2022-08-23 19:07:32,,,
홈플러스 중계점,ME174019,1,6,서울특별시 노원구 동일로204가길 12,37.6400856,127.0685413,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02208E+13,2.02208E+13,50,단독,11,11350,E0,E001,N,N,N,2022-08-23 21:57:52,2022-08-23 16:58:30,,,
